rtu_name,scans_good,scans_bad,bytes_transmited,bytes_recived,scan_type_command,scan_type_init,scan_type_spont,nro_alertas
INDEPE_N,1154244,0,866128,78766961,28,0,1154216,0
LA_BREA,736066,0,552768,21087995,3,0,736039,0
ABANCAY,1725842,0,1295496,47846786,3,0,1725815,0
REQUE,2220506,0,1666278,69801612,3,0,2220479,0
CHAVARRIA_N,887120,2,666406,25175524,7,0,887091,0
AMARILIS,77646,0,57900,9314943,3,0,77619,0
PUCALLPA_N,184442,0,139210,36741180,4,0,184414,0
AGUAYTIA_N,155118,0,117206,29721027,5,0,155089,0
PARAGSHA2_N,505076,0,379590,23186538,3,0,505049,0
COMBAPATA_N,4080317,0,3061080,133880482,3,0,4080290,0
PARAMONGA_N,2531762,0,1900680,72086752,33,0,2531705,0
CHICLAYO_N,2160334,0,1621218,78695465,3,0,2160307,0
TRUJILLO_N,3019632,0,2266478,102897969,5,0,3019603,0
POROMA,932863,0,700962,25895032,3,0,932836,0
COTARUSE_N,1620697,0,1216252,52463131,5,0,1620669,0
ORCOTUNA,1049870,0,787800,90638367,3,0,1049843,0
MONTALVO,369686,0,278022,10230847,3,0,369659,0
PAPUJUNE,68130,0,34194,4752294,3,0,68103,0
SOCABAYA_REP_N,1410789,1,1059160,46249575,3,13,1410750,3
PIEDRAS BLAN,161054,43,805750,3486769,3,0,0,0
SOCABAYA,173329,2,896954,1005751,8,0,0,0
SANTUARIO,135215,8,706656,8459255,3,22,0,5
CVERDE,143597,17,718165,5276935,3,0,0,0
POMACO,221679,46,1108900,7898520,3,0,0,0
TOQUEPALA,9296,3190,101160,380734,5,35,0,6
CALLALLI,50594,89,259510,3293390,3,71,0,12
TOCACHE_N,920645,0,691776,25232069,3,0,920618,0
TINTAYA_N,603343,0,453402,18442876,3,0,603316,0
AZANGARO,135647,98,679605,1800032,5,74,0,10
AYAVIRI,41508,49,210395,4024231,11,34,0,17
MANTARO_N,4129951,0,3098352,130564354,3,3,4129921,0
SANROS_N,1697787,1,1274400,49443454,9,1,1697754,0
MOLLENDO,73780,806,384370,150713,3,19,0,5
MOQUEGUA,58451,1104,314430,869687,3,0,0,0
REPARTICION,79841,17,459849,5473952,3,2,0,0
TINGOMARIA,140373,26,702185,5363366,4,0,0,0
CALLAHUANCA,190100,375,954240,5466587,3,0,0,0
PACHACHACA,153200,41,766460,2745155,3,3,0,0
ZAPALLAL,236356,664,1185265,2494606,3,0,0,0
CHILCA1,210511,29,1052805,6941536,5,0,0,0
HUACHO,119713,153,600345,6300759,3,0,0,0
VENTANILLA,200314,266,1004525,6642018,3,0,0,0
COLCABAMBA,2465191,0,1849944,79526720,3,3,2465161,0
SURIRAY,1202721,0,902910,33740128,3,0,1202694,0
SANNICOLAS,79605,25094,523630,1616569,3,0,0,0
SOCABAYA_N,1999842,0,1500954,63317699,3,0,1999815,0
PARIÑAS,2582071,0,1937408,117272956,5,0,2582042,0
TRUJILLNUEV,139337,1439,714145,11381580,16,4,0,0
TINGOMARIA_N,463530,0,348340,17386149,3,0,463502,0
OROYA_N,1348646,0,1012062,37619801,3,0,1348619,0
HUANUCO,237509,49,1188100,3765646,8,15,0,10
HUAYUCACHI,275311,4,1376825,1692288,11,0,0,0
QUENCORO_N,2016930,0,1514466,56208759,3,0,2016903,0
OLLEROS,207523,467,1041635,2601668,3,0,0,0
LANINA_N,2611527,0,1960470,77470883,6,0,2611497,0
