rtu_name,scans_good,scans_bad,bytes_transmited,bytes_recived,scan_type_idle,scan_type_command,scan_type_init,tipo_evento
ORCOTUNA,1113835,1,835802,89552540,0,3,2,1
ORCOTUNA,1113645,0,835618,89386948,0,3,4,1
ORCOTUNA,1111395,2,834042,90059527,0,12,4,1
ORCOTUNA,1110618,0,833390,89580928,0,3,2,1
ORCOTUNA,1109699,1,832738,90312229,0,5,2,1
ORCOTUNA,1108778,0,831982,89259267,0,3,1,1
ORCOTUNA,1102502,0,827254,89830117,0,0,1,1
INDEPE_N,1100772,0,826966,55835530,0,61,18,1
ORCOTUNA,1098280,0,824126,91154963,0,3,2,1
ORCOTUNA,1097268,0,823324,90827717,0,3,1,1
ORCOTUNA,1095471,0,821992,91174765,0,3,1,1
ORCOTUNA,1094893,1,821596,89423437,0,4,3,1
OROYA_N,1090278,0,818316,29953052,0,3,3,1
SANJUAN_N,1089524,4,819834,30339270,0,72,4,1
ORCOTUNA,1080087,1,810456,82539666,0,3,3,1
ORCOTUNA,1075466,0,806980,89420635,0,3,1,1
OROYA_N,1073833,2,806056,31778490,0,3,9,1
ORCOTUNA,1072655,1,804774,90421943,0,3,3,1
ORCOTUNA,1072008,0,804400,90152249,0,3,1,1
ORCOTUNA,1071937,0,804328,92104656,0,3,1,1
ORCOTUNA,1063544,1,798070,89130875,0,3,1,1
ORCOTUNA,1058997,2,794598,90187445,0,7,1,1
ORCOTUNA,1055358,4,791960,89669204,0,3,8,1
OROYA_N,1050657,0,788572,28835043,0,3,1,1
ORCOTUNA,1044393,0,783628,89249683,0,2,2,1
PARIÑAS,1040353,0,781238,90059950,0,10,7,1
ORCOTUNA,1038569,18,779576,86528439,0,15,17,1
LA_BREA,1038438,0,779584,31360935,0,3,1,1
ORCOTUNA,1034899,0,776562,89927412,0,3,3,1
PARIÑAS,1032785,0,775260,88213449,0,6,1,1
ORCOTUNA,1032323,1,774666,88323907,0,3,3,1
PARIÑAS,1032313,0,775056,89516394,0,8,4,1
LA_BREA,1031663,0,774548,31272579,0,5,4,1
ORCOTUNA,1031576,0,774106,89512984,0,3,1,1
PARIÑAS,1026461,0,770658,85705702,0,6,7,1
PARIÑAS,1026359,0,770438,88387750,0,4,1,1
SANJUAN_N,1025785,8,772214,28540975,0,61,12,1
PARIÑAS,1025332,0,769762,88267348,0,8,1,1
ORCOTUNA,1024883,0,769024,83252223,0,3,1,1
ORCOTUNA,1022658,1,767378,84621882,0,3,2,1
ORCOTUNA,1021972,5,767014,89094069,0,5,12,1
ORCOTUNA,1020366,1,765652,87401313,0,3,4,1
ORCOTUNA,1020241,0,765552,82394889,0,3,3,1
ORCOTUNA,1020040,3,765476,87794479,0,4,4,1
OROYA_N,1019797,0,765478,27909196,0,3,3,1
PARIÑAS,1018356,0,765038,86905791,0,5,18,1
LA_BREA,1016326,0,763036,30750621,0,3,4,1
PARIÑAS,1013882,1,761370,88363269,0,4,8,1
OROYA_N,1008975,0,757306,30171650,0,3,1,1
INDEPE_N,1007269,0,755576,43658950,0,3,2,1
PARIÑAS,999684,0,750586,87626446,0,4,3,1
LA_BREA,995512,0,747438,29842116,0,3,6,1
LA_BREA,994843,0,746908,29749334,0,3,1,1
PARIÑAS,994399,0,746786,87347469,0,7,4,1
TOCACHE_N,993391,23,746968,27283270,0,9,22,1
ORCOTUNA,992267,0,744620,88893827,0,3,2,1
ZORRITOS_N,990397,1,744648,27638455,0,8,2,1
INDEPE_N,988172,0,742164,41706378,0,55,8,1
PARIÑAS,985828,0,740368,86538855,0,3,13,1
LA_BREA,985811,0,740104,29394214,0,3,1,1
PARIÑAS,985650,1,740162,85937167,0,7,8,1
ORCOTUNA,981640,0,736642,84246193,0,3,1,1
OROYA_N,980842,0,736188,26939572,0,2,1,1
CHAVARRIA_N,979743,8,737404,27682779,0,42,11,2
ZORRITOS_N,976562,0,734434,27140531,0,6,1,1
LA_BREA,975524,0,732400,29632220,0,3,1,1
PARIÑAS,975045,0,732852,86645165,0,6,30,1
LA_BREA,973437,0,730816,29052859,0,3,1,1
