01/16/21 18:20:56 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:20:56   03042049 HUANCAVEL 10                      T9-261 PL3 TENSION V-ST          LIMITE SUPERIOR 1 EXCEDIDO                    10.3       4

01/16/21 18:20:56 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:20:56   03042048 HUANCAVEL 10                      T9-261 PL3 TENSION V-RS          LIMITE SUPERIOR 1 EXCEDIDO                    10.3       4

01/16/21 18:20:58 rep1sca01 alrm_server[2680]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:20:58   41053047 PIURA 220                         T117-261 SUBIR-BAJAR TAPS        gramirez@rep1hmi62, Operator Control     LOWER           6

01/16/21 18:20:59 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:20:59   01011502 AZANGARO 22.9                     T79-162 P2 50/51(N) ARRQ BT      RETORNO A NORMAL                          INACTIVO       3

01/16/21 18:21:00 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:21:00   01011502 AZANGARO 22.9                     T79-162 P2 50/51(N) ARRQ BT      CAMBIO DE ESTADO                          ACTIVO         3

01/16/21 18:21:01 rep1sca01 alrm_server[2680]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:21:01   41053042 PIURA 220                         T83-261 SUBIR BAJAR TAP          gramirez@rep1hmi62, Operator Control     LOWER           6

01/16/21 18:21:03 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:21:03   22019010 AZANGARO 138                      ALARM AZANGARO_022               RETORNO A NORMAL                          OFF            4

01/16/21 18:21:03 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:21:03   03042049 HUANCAVEL 10                      T9-261 PL3 TENSION V-ST          RETORNO A NORMAL                              10.2       4

01/16/21 18:21:04 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:21:04   22019010 AZANGARO 138                      ALARM AZANGARO_022               CAMBIO DE ESTADO                          ON             4

01/16/21 18:21:04 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:21:04   03042049 HUANCAVEL 10                      T9-261 PL3 TENSION V-ST          LIMITE SUPERIOR 1 EXCEDIDO                    10.3       4

01/16/21 18:21:04 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:21:04   01053H19 PIURA 220                         T117-261 FLL OLTC                RETORNO A NORMAL                          INACTIVO       3

01/16/21 18:21:04 rep1sca01 alrm_server[2680]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:21:04   41053041 PIURA 220                         T15-261 SUBIR BAJAR TAP          gramirez@rep1hmi62, Operator Control     LOWER           6

01/16/21 18:21:06 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:21:06   01053H19 PIURA 220                         T117-261 FLL OLTC                CAMBIO DE ESTADO                          ACTIVO         3

01/16/21 18:21:06 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:21:06   03042048 HUANCAVEL 10                      T9-261 PL3 TENSION V-RS          RETORNO A NORMAL                              10.2       4

01/16/21 18:21:08 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:21:08   03042048 HUANCAVEL 10                      T9-261 PL3 TENSION V-RS          LIMITE SUPERIOR 1 EXCEDIDO                    10.3       4

