id_rtufecha,scans_good,scans_bad,bytes_transmited,bytes_recived,scan_type_periodic,scan_type_idle,scan_type_command,scan_type_init,scan_type_spont,enviados,fallidos,alarmas,duracion_int,tipo_evento
44260PARAMONGA_N,2321766,0,1742880,65655135,24,0,11,1,2321730,5,2,0,0,2
44260TRUJILLO_N,3086465,0,2316714,99918714,24,0,5,1,3086435,29,18,0,0,2
44260SOCABAYA_REP_N,425031,0,319690,11746774,24,0,6,4,424997,11,9,0,0,2
44262CHILCA1,207430,30,1044140,7179680,0,207344,116,0,0,14,3,0,0,2
44262HUACHO,116533,171,584605,6565517,0,116701,3,0,0,44,12,0,0,2
44262SOCABAYA_N,1934700,0,1452030,62711586,24,0,3,0,1934673,4,4,0,0,2
44262TRUJILLNUEV,148218,1408,757820,10593223,0,149620,6,0,0,2,2,0,0,2
44262LANINA_N,2524510,0,1895150,74544962,24,0,5,0,2524481,3,3,0,0,2
44262MARCONA,5589752,0,4193478,214266098,24,0,6,0,5589722,2,3,0,0,2
44262CARABAYLLO,241162,332,1209965,8716710,0,241450,44,0,0,23,1,0,0,2
44262GUADALUPE_N,1384747,4,1042202,38672380,25,0,188,0,1384538,60,1,0,0,2
44262PARAGSHA_NVA,185037,462,930180,9125696,0,185485,8,6,0,8,8,3,78,2
44262PIURA2_N,3533571,0,2652080,103135169,24,0,35,0,3533512,29,22,0,0,2
44262ICA,152076,64,762760,13405217,0,152124,16,0,0,3,3,0,0,2
44262CARAPONGO,711043,0,533726,32793623,24,0,5,0,711014,13,2,0,0,2
44262CHIMBOTENVA_N,608466,5,457294,16686462,24,0,18,0,608429,3,1,0,0,2
44262CHAVARRIA_N,923028,0,693926,26309452,24,0,11,6,922987,10,2,0,0,2
44262AGUAYTIA_N,457184,0,343716,94779029,24,0,3,0,457157,1,1,0,0,2
44262PARAMONGA_N,2382562,0,1788812,67359863,23,0,39,0,2382500,19,5,1,56,1
